customer_id,age,gender,marital_status,annual_income,policy_type,policy_tenure,premium_amount,vehicle_age,vehicle_type,vehicle_price,num_claims,last_claim_amount,claim_frequency,fraud_reported,filed_claim
C0001,56,Male,Divorced,58370,Liability,6,1555,16,Motorcycle,17720,0,0,0.0,No,No
C0002,69,Male,Divorced,70295,Collision,3,2435,10,Truck,37791,1,6032,0.33,No,Yes
C0003,46,Male,Married,36450,Collision,12,1434,5,SUV,59571,0,0,0.0,No,No
C0004,32,Female,Single,60845,Comprehensive,14,2292,9,Sedan,49269,1,17108,0.07,No,Yes
C0005,60,Male,Single,37209,Liability,9,1008,14,SUV,46973,2,14608,0.22,No,Yes
C0006,25,Female,Married,63272,Comprehensive,7,2005,5,SUV,54832,0,0,0.0,No,No
C0007,38,Male,Married,72929,Comprehensive,13,1756,15,Sedan,39283,0,0,0.0,No,No
C0008,56,Male,Married,63318,Collision,14,1452,11,Motorcycle,22335,0,0,0.0,No,No
C0009,36,Female,Divorced,72172,Collision,3,714,18,Sedan,10407,4,15512,1.33,Yes,Yes
C0010,40,Female,Divorced,45999,Collision,4,1765,15,Truck,5414,1,13230,0.25,No,Yes
C0011,28,Male,Single,58756,Liability,7,744,13,Truck,42616,0,0,0.0,No,Yes
C0012,28,Male,Married,55240,Collision,11,519,5,Motorcycle,30999,1,5901,0.09,No,Yes
C0013,41,Male,Single,53931,Comprehensive,8,709,8,SUV,58663,1,13731,0.12,No,Yes
C0014,70,Female,Single,43987,Collision,6,2245,0,SUV,9971,1,15972,0.17,No,Yes
C0015,53,Female,Married,51363,Comprehensive,4,925,7,Motorcycle,20145,1,13054,0.25,No,Yes
C0016,57,Male,Single,37745,Comprehensive,12,1499,6,Truck,9985,0,0,0.0,No,No
C0017,41,Male,Divorced,26116,Comprehensive,2,1480,13,Truck,29353,0,0,0.0,No,No
C0018,20,Male,Single,45985,Liability,10,571,7,Truck,12650,0,0,0.0,No,No
C0019,39,Female,Married,72519,Comprehensive,8,2197,10,SUV,26754,0,0,0.0,No,No
C0020,70,Other,Married,64681,Collision,1,677,8,Sedan,17964,0,0,0.0,No,No
C0021,19,Male,Married,34867,Liability,9,2046,18,Sedan,48407,1,15343,0.11,No,Yes
C0022,41,Female,Single,51879,Liability,8,2398,6,SUV,36572,2,6756,0.25,No,Yes
C0023,61,Male,Divorced,73849,Liability,3,798,5,Sedan,27905,2,7984,0.67,No,Yes
C0024,47,Male,Married,51030,Comprehensive,10,765,17,SUV,32767,0,0,0.0,No,No
C0025,55,Female,Married,31644,Collision,4,1019,4,SUV,26841,1,16605,0.25,No,Yes
C0026,19,Female,Single,105152,Liability,10,2018,18,SUV,21833,2,2525,0.2,No,Yes
C0027,38,Female,Married,56660,Liability,4,2491,10,Sedan,48895,0,0,0.0,No,No
C0028,50,Female,Married,36728,Collision,2,774,4,SUV,45096,0,0,0.0,No,No
C0029,29,Male,Married,63425,Collision,12,2228,8,Motorcycle,32752,0,0,0.0,No,No
C0030,39,Female,Married,58287,Liability,11,2346,7,Truck,18137,1,3756,0.09,No,Yes
C0031,61,Male,Married,29170,Comprehensive,10,1447,10,Sedan,28012,1,19066,0.1,No,Yes
C0032,42,Female,Single,61867,Comprehensive,5,2294,5,SUV,17708,0,0,0.0,No,Yes
C0033,66,Male,Single,79674,Comprehensive,13,552,14,Truck,20051,1,10375,0.08,No,Yes
C0034,44,Female,Single,55341,Comprehensive,12,1311,5,SUV,32175,0,0,0.0,No,No
C0035,59,Male,Married,18796,Collision,3,2131,10,SUV,24335,0,0,0.0,No,Yes
C0036,45,Male,Married,66838,Liability,12,2339,14,Sedan,57277,0,0,0.0,No,Yes
C0037,33,Female,Single,72058,Liability,11,2345,11,Sedan,49678,1,17907,0.09,No,Yes
C0038,32,Male,Married,48271,Comprehensive,1,1923,8,Sedan,6537,1,10157,1.0,No,Yes
C0039,64,Female,Married,48418,Comprehensive,2,1937,9,Sedan,40936,2,8718,1.0,No,Yes
C0040,68,Male,Married,105157,Collision,11,2127,14,SUV,10687,0,0,0.0,No,Yes
C0041,61,Male,Single,46835,Comprehensive,12,2447,16,SUV,21352,0,0,0.0,No,No
C0042,72,Male,Single,37562,Liability,7,2179,15,SUV,56047,1,18761,0.14,No,Yes
C0043,69,Male,Single,60502,Comprehensive,1,988,7,Sedan,45571,1,18077,1.0,No,Yes
C0044,74,Female,Single,71496,Comprehensive,12,1001,16,SUV,46144,1,2115,0.08,No,Yes
C0045,20,Male,Single,70648,Collision,13,806,10,SUV,39224,0,0,0.0,No,Yes
C0046,54,Female,Single,10638,Comprehensive,13,916,10,Motorcycle,39262,2,3687,0.15,No,Yes
C0047,68,Female,Married,46785,Comprehensive,2,1008,5,Sedan,10060,0,0,0.0,No,No
C0048,24,Male,Single,83057,Comprehensive,14,1420,1,Sedan,32981,3,14904,0.21,Yes,Yes
C0049,38,Female,Widowed,66533,Comprehensive,10,2053,0,SUV,14479,1,5906,0.1,No,Yes
C0050,26,Female,Single,35284,Comprehensive,7,1137,19,SUV,34523,1,15518,0.14,No,Yes
C0051,56,Female,Single,84848,Liability,1,1165,5,Motorcycle,31814,0,0,0.0,No,No
C0052,35,Male,Single,79297,Collision,7,505,4,SUV,15065,2,11708,0.29,No,Yes
C0053,21,Male,Single,54067,Comprehensive,13,921,8,Truck,39518,2,3008,0.15,No,Yes
C0054,42,Female,Married,77589,Comprehensive,8,2463,4,SUV,30820,1,1502,0.12,No,Yes
C0055,31,Female,Single,99995,Collision,11,1974,17,Sedan,15438,0,0,0.0,No,No
C0056,67,Female,Divorced,38912,Collision,13,1950,18,Truck,27871,3,18785,0.23,Yes,Yes
C0057,26,Male,Divorced,71108,Collision,14,889,14,Sedan,54325,1,10932,0.07,No,Yes
C0058,43,Female,Married,99718,Collision,2,833,14,Sedan,42080,2,11996,1.0,No,Yes
C0059,70,Male,Married,73060,Liability,4,1971,8,Motorcycle,24661,1,18624,0.25,No,Yes
C0060,19,Female,Married,44912,Comprehensive,7,837,13,Sedan,23405,3,4757,0.43,No,Yes
C0061,37,Male,Single,64778,Comprehensive,1,1347,4,Sedan,59850,3,19907,3.0,Yes,Yes
C0062,45,Female,Married,87397,Comprehensive,6,1611,16,Sedan,6396,1,6077,0.17,No,Yes
C0063,64,Male,Single,39684,Collision,5,768,14,SUV,5173,4,13340,0.8,Yes,Yes
C0064,24,Male,Single,59398,Comprehensive,11,564,19,Sedan,49354,2,14997,0.18,No,Yes
C0065,61,Female,Married,55130,Comprehensive,6,1177,16,Sedan,20913,1,14988,0.17,No,Yes
C0066,25,Male,Married,47371,Collision,8,1587,8,SUV,28935,1,9071,0.12,No,Yes
C0067,64,Male,Divorced,64831,Liability,11,1793,12,Motorcycle,16080,0,0,0.0,No,No
C0068,52,Male,Single,57985,Comprehensive,11,1156,12,Sedan,52540,1,8556,0.09,No,Yes
C0069,31,Female,Married,72867,Comprehensive,1,1900,4,SUV,40014,1,10505,1.0,No,Yes
C0070,34,Female,Single,82819,Comprehensive,3,2368,13,SUV,24462,1,17584,0.33,No,Yes
C0071,53,Male,Single,34543,Liability,11,1280,6,Sedan,57203,0,0,0.0,No,Yes
C0072,67,Female,Single,61350,Collision,13,828,4,Sedan,58881,1,8373,0.08,No,Yes
C0073,57,Female,Married,58937,Comprehensive,9,2425,11,SUV,39467,2,15776,0.22,No,Yes
C0074,21,Male,Single,64068,Collision,12,1017,2,SUV,19963,0,0,0.0,No,No
C0075,19,Female,Married,59690,Comprehensive,8,2156,8,Sedan,24475,3,5844,0.38,No,Yes
C0076,23,Female,Married,40386,Liability,4,1361,9,Sedan,25168,0,0,0.0,No,No
